# ----------------------------------------
# Key event attribution paths
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Primary channel group path,Data-driven path attributed key events,Key events,Purchase revenue,Days to key event,Touch points to key event
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,388.6,1,15
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search""]",NaN,1,392.7,6,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Social""]",NaN,1,393.959998,2,4
"[""Paid Search"",""Paid Social"",""Paid Social"",""Paid Social"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,404.599999,7,8
"[""Unassigned"",""Unassigned"",""Paid Search"",""Unassigned"",""Referral""]",NaN,1,404.6,21,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search""]",NaN,1,414.539998,8,10
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,420,0,16
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,1,426.99998,0,20
"[""Organic Search"",""Unassigned"",""Unassigned"",""Referral"",""Referral""]",NaN,1,427.119998,0,5
"[""Email"",""Email"",""Paid Search"",""Email"",""Email""]",NaN,1,432.15,0,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,432.179995,8,12
"[""Organic Search"",""Referral"",""Organic Search"",""Referral"",""Organic Search""]",NaN,1,433.499998,1,5
"[""Unassigned"",""Unassigned"",""Paid Search"",""Referral""]",NaN,1,442.499997,1,4
"[""Paid Search"",""Organic Social""]",NaN,1,450,0,2
"[""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Email""]",NaN,1,450,7,9
